ticker,permno,cik,filing_date,accession,previous_filing_date,previous_accession,universe_date,market_cap,average_dollar_volume_21d,liquidity_rank,signal_available_date,entry_date,exit_date,similarity,change,log_change,text_length,previous_text_length,entry_delay_days,exit_day
FB,13407,0001326801,2016-01-28,0001326801-16-000043,2015-01-29,0001326801-15-000006,2015-12-31,240188420400.0,2092022255.522381,3,2016-01-28,2016-02-29,2016-07-20,0.9870417830255528,0.0129582169744473,0.0128749775989404,259754,260687,21,120
NFLX,89393,0001065280,2016-01-28,0001065280-16-000047,2015-01-29,0001065280-15-000006,2015-12-31,48947777199.99999,1794820211.8999414,5,2016-01-28,2016-02-29,2016-07-20,0.9681072251933874,0.0318927748066125,0.0313947612801631,188382,183308,21,120
AMZN,84788,0001018724,2016-01-29,0001018724-16-000172,2015-01-30,0001018724-15-000006,2015-12-31,318344194710.0,2721982986.6037173,2,2016-01-29,2016-03-01,2016-07-21,0.9871243034892588,0.0128756965107411,0.0127935094556711,228133,232272,21,120
EBAY,86356,0001065088,2016-02-01,0001065088-16-000265,2015-02-06,0001065088-15-000054,2016-01-29,27652419300.0,392912375.0292857,94,2016-02-01,2016-03-02,2016-07-22,0.8146628457428157,0.1853371542571843,0.1700272524799145,300000,300000,21,120
BIIB,76841,0000875045,2016-02-03,0000875045-16-000042,2015-02-04,0000875045-15-000005,2016-01-29,59710849380.0,606951471.0659828,51,2016-02-03,2016-03-04,2016-07-26,0.977622245457675,0.022377754542325,0.0221310463276672,300000,300000,21,120
GM,12369,0001467858,2016-02-03,0001467858-16-000255,2015-02-04,0001467858-15-000036,2016-01-29,45723938520.0,558631612.8209524,56,2016-02-03,2016-03-04,2016-07-26,0.9662693719567677,0.0337306280432323,0.0331742276814904,300000,300000,21,120
CMCSA,89525,0001166691,2016-02-05,0001193125-16-452423,2015-02-27,0001193125-15-068526,2016-01-29,135539867340.0,730694799.7869048,36,2016-02-05,2016-03-08,2016-07-28,0.9523782194929918,0.0476217805070081,0.0465226242972708,300000,300000,21,120
CMG,91068,0001058090,2016-02-05,0001058090-16-000058,2015-02-04,0001193125-15-033771,2016-01-29,14127228360.000002,861691491.7892085,28,2016-02-05,2016-03-08,2016-07-28,0.9639600705069424,0.0360399294930574,0.0354056850762839,225317,203840,21,120
DAL,91926,0000027904,2016-02-05,0000027904-16-000018,2015-02-11,0000027904-15-000003,2016-01-29,34832933460.0,548247596.1,58,2016-02-05,2016-03-08,2016-07-28,0.9796113297987,0.0203886702013,0.020183603932325,286264,278889,21,120
HAL,23819,0000045012,2016-02-05,0000045012-16-000272,2015-02-24,0000045012-15-000040,2016-01-29,27206295270.0,427694202.70666665,84,2016-02-05,2016-03-08,2016-07-28,0.9632650089076618,0.0367349910923382,0.0360763431573231,266473,267298,21,120
UNP,48725,0000100885,2016-02-05,0000100885-16-000260,2015-02-06,0001193125-15-037518,2016-01-29,61496712000.0,593318070.1195238,52,2016-02-05,2016-03-08,2016-07-28,0.9549026855598164,0.0450973144401837,0.0441100049472207,261583,258813,21,120
CVS,17005,0000064803,2016-02-09,0000064803-16-000074,2015-02-10,0000064803-15-000008,2016-01-29,106955749030.0,509535555.1333333,65,2016-02-09,2016-03-10,2016-08-01,0.9751721944280642,0.0248278055719357,0.024524603913739,133923,117879,21,120
UNH,92655,0000731766,2016-02-09,0000731766-16-000058,2015-02-10,0000731766-15-000007,2016-01-29,109759917280.0,497613361.2747619,68,2016-02-09,2016-03-10,2016-08-01,0.9782321649604006,0.0217678350395994,0.0215342986948823,300000,300000,21,120
BA,19561,0000012927,2016-02-10,0000012927-16-000099,2015-02-12,0000012927-15-000011,2016-01-29,80485177920.0,835555437.6619576,30,2016-02-10,2016-03-11,2016-08-02,0.9935688475027704,0.0064311524972296,0.006410560874101,296652,296688,21,120
CELG,11552,0000816284,2016-02-11,0001628280-16-011012,2015-02-20,0001628280-15-000889,2016-01-29,78911712000.0,783680377.9090476,34,2016-02-11,2016-03-14,2016-08-03,0.9642498608338412,0.0357501391661586,0.0351259363380575,300000,300000,21,120
F,25785,0000037996,2016-02-11,0000037996-16-000092,2015-02-13,0000037996-15-000013,2016-01-29,46539469320.0,662186519.0519048,43,2016-02-11,2016-03-14,2016-08-03,0.9825569649807409,0.0174430350192592,0.0172926515283237,300000,300000,21,120
MMM,22592,0000066740,2016-02-11,0001558370-16-003162,2015-02-12,0001104659-15-009560,2016-01-29,92008830000.0,454461094.0056138,76,2016-02-11,2016-03-14,2016-08-03,0.95541352247235,0.0445864775276501,0.0436210918162745,300000,300000,21,120
PEP,13856,0000077476,2016-02-11,0000077476-16-000066,2015-02-12,0000077476-15-000012,2016-01-29,144665304299.99997,541312006.1752381,60,2016-02-11,2016-03-14,2016-08-03,0.9747234883298052,0.0252765116701947,0.0249623436927835,300000,300000,21,120
REGN,76614,0000872589,2016-02-11,0001532176-16-000045,2015-02-12,0001532176-15-000008,2016-01-29,43157946150.0,490890917.35393906,70,2016-02-11,2016-03-14,2016-08-03,0.9622164058951044,0.0377835941048957,0.0370872794866914,300000,300000,21,120
UTX,17830,0000101829,2016-02-11,0000101829-16-000050,2015-02-05,0000101829-15-000005,2016-01-29,77782871490.0,619872688.1947619,48,2016-02-11,2016-03-14,2016-08-03,0.9625100399091848,0.0374899600908152,0.0368042960549927,111880,121013,21,120
BMY,19393,0000014272,2016-02-12,0000014272-16-000288,2015-02-13,0000014272-15-000055,2016-01-29,103700657759.99998,523832558.3585714,63,2016-02-12,2016-03-15,2016-08-04,0.9626807413368672,0.0373192586631329,0.0366397494291877,300000,300000,21,120
INTC,59328,0000050863,2016-02-12,0000050863-16-000105,2015-02-13,0000050863-15-000015,2016-01-29,146569500000.0,954465424.2833332,23,2016-02-12,2016-03-15,2016-08-04,0.9771080690792924,0.0228919309207076,0.0226338420155604,300000,300000,21,120
MA,91233,0001141391,2016-02-12,0001141391-16-000085,2015-02-13,0001141391-15-000011,2016-01-29,97953833020.0,574069489.3271428,53,2016-02-12,2016-03-15,2016-08-04,0.9850763815798104,0.0149236184201895,0.0148133568741269,284833,294982,21,120
AMGN,14008,0000318154,2016-02-16,0000318154-16-000031,2015-02-19,0000318154-15-000005,2016-01-29,115158419999.99998,676384845.1069224,40,2016-02-16,2016-03-16,2016-08-05,0.9757029495511832,0.0242970504488169,0.0240065728787548,300000,300000,21,120
CAT,18542,0000018230,2016-02-16,0000018230-16-000410,2015-02-17,0000018230-15-000061,2016-01-29,36238244160.00001,531619044.2385714,61,2016-02-16,2016-03-16,2016-08-05,0.764531756306324,0.235468243693676,0.21145004291399,300000,111021,21,120
