ticker,permno,cik,filing_date,accession,previous_filing_date,previous_accession,signal_available_date,entry_date,exit_date,similarity,change,log_change,text_length,previous_text_length,entry_delay_days,exit_day
ADBE,75510,0000796343,2016-01-19,0000796343-16-000224,2015-01-20,0000796343-15-000022,2016-01-19,2016-02-18,2016-07-11,0.9917319230872972,0.0082680769127029,0.0082340836090834,300000,300000,21,120
META,13407,0001326801,2016-01-28,0001326801-16-000043,2015-01-29,0001326801-15-000006,2016-01-28,2016-02-29,2016-07-20,0.9870417830255528,0.0129582169744473,0.0128749775989404,259754,260687,21,120
NFLX,89393,0001065280,2016-01-28,0001065280-16-000047,2015-01-29,0001065280-15-000006,2016-01-28,2016-02-29,2016-07-20,0.9681072251933874,0.0318927748066125,0.0313947612801631,188382,183308,21,120
AMZN,84788,0001018724,2016-01-29,0001018724-16-000172,2015-01-30,0001018724-15-000006,2016-01-29,2016-03-01,2016-07-21,0.9871243034892588,0.0128756965107411,0.0127935094556711,228133,232272,21,120
ISRG,88352,0001035267,2016-02-02,0001035267-16-000130,2015-02-06,0001035267-15-000014,2016-02-02,2016-03-03,2016-07-25,0.9854295068496192,0.0145704931503807,0.0144653634787687,300000,300000,21,120
CMCSA,89525,0001166691,2016-02-05,0001193125-16-452423,2015-02-27,0001193125-15-068526,2016-02-05,2016-03-08,2016-07-28,0.9523782194929918,0.0476217805070081,0.0465226242972708,300000,300000,21,120
UNP,48725,0000100885,2016-02-05,0000100885-16-000260,2015-02-06,0001193125-15-037518,2016-02-05,2016-03-08,2016-07-28,0.9549026855598164,0.0450973144401837,0.0441100049472207,261583,258813,21,120
UNH,92655,0000731766,2016-02-09,0000731766-16-000058,2015-02-10,0000731766-15-000007,2016-02-09,2016-03-10,2016-08-01,0.9782321649604006,0.0217678350395994,0.0215342986948823,300000,300000,21,120
BA,19561,0000012927,2016-02-10,0000012927-16-000099,2015-02-12,0000012927-15-000011,2016-02-10,2016-03-11,2016-08-02,0.9935688475027704,0.0064311524972296,0.006410560874101,296652,296688,21,120
PEP,13856,0000077476,2016-02-11,0000077476-16-000066,2015-02-12,0000077476-15-000012,2016-02-11,2016-03-14,2016-08-03,0.9747234883298052,0.0252765116701947,0.0249623436927835,300000,300000,21,120
RTX,17830,0000101829,2016-02-11,0000101829-16-000050,2015-02-05,0000101829-15-000005,2016-02-11,2016-03-14,2016-08-03,0.9625100399091848,0.0374899600908152,0.0368042960549927,111880,121013,21,120
SYK,73139,0000310764,2016-02-11,0000310764-16-000226,2015-02-12,0000310764-15-000022,2016-02-11,2016-03-14,2016-08-03,0.9763102988605564,0.0236897011394434,0.0234134544645782,158940,165754,21,120
BMY,19393,0000014272,2016-02-12,0000014272-16-000288,2015-02-13,0000014272-15-000055,2016-02-12,2016-03-15,2016-08-04,0.9626807413368672,0.0373192586631329,0.0366397494291877,300000,300000,21,120
HON,10145,0000773840,2016-02-12,0000930413-16-005457,2015-02-13,0000930413-15-000621,2016-02-12,2016-03-15,2016-08-04,0.9685913227147984,0.0314086772852014,0.0309255157127709,204922,205913,21,120
MA,91233,0001141391,2016-02-12,0001141391-16-000085,2015-02-13,0001141391-15-000011,2016-02-12,2016-03-15,2016-08-04,0.9850763815798104,0.0149236184201895,0.0148133568741269,284833,294982,21,120
SPGI,17478,0000064040,2016-02-12,0000064040-16-000042,2015-02-13,0000064040-15-000004,2016-02-12,2016-03-15,2016-08-04,0.9643279812532553,0.0356720187467447,0.0350505094926387,300000,300000,21,120
AMGN,14008,0000318154,2016-02-16,0000318154-16-000031,2015-02-19,0000318154-15-000005,2016-02-16,2016-03-16,2016-08-05,0.9757029495511832,0.0242970504488169,0.0240065728787548,300000,300000,21,120
CAT,18542,0000018230,2016-02-16,0000018230-16-000410,2015-02-17,0000018230-15-000061,2016-02-16,2016-03-16,2016-08-05,0.764531756306324,0.235468243693676,0.21145004291399,300000,111021,21,120
VRTX,76744,0000875320,2016-02-16,0000875320-16-000067,2015-02-13,0000875320-15-000012,2016-02-16,2016-03-16,2016-08-05,0.9737463973470456,0.0262536026529545,0.025914892280609,300000,300000,21,120
BKNG,86783,0001075531,2016-02-17,0001075531-16-000084,2015-02-19,0001075531-15-000007,2016-02-17,2016-03-17,2016-08-08,0.973556647884616,0.0264433521153839,0.0260997704844073,300000,300000,21,120
PM,92602,0001413329,2016-02-17,0001413329-16-000076,2015-02-20,0001413329-15-000016,2016-02-17,2016-03-17,2016-08-08,0.9509267312701436,0.0490732687298564,0.0479071732379943,300000,300000,21,120
TMUS,91937,0001283699,2016-02-17,0001283699-16-000073,2015-02-19,0001283699-15-000010,2016-02-17,2016-03-17,2016-08-08,0.97655163967411,0.02344836032589,0.0231776708413684,289084,300000,21,120
AMD,61241,0000002488,2016-02-18,0000002488-16-000111,2015-02-19,0001193125-15-054362,2016-02-18,2016-03-18,2016-08-09,0.953076560008331,0.046923439991669,0.0458558059976409,300000,300000,21,120
T,66093,0000732717,2016-02-18,0000732717-16-000147,2015-02-20,0000732717-15-000016,2016-02-18,2016-03-18,2016-08-09,0.9314959606487998,0.0685040393512002,0.0662595761641172,75657,64513,21,120
ABBV,13721,0001551152,2016-02-19,0001047469-16-010239,2015-02-20,0001047469-15-000995,2016-02-19,2016-03-21,2016-08-10,0.9542662575127134,0.0457337424872865,0.0447187849485029,300000,300000,21,120
ABT,20482,0000001800,2016-02-19,0001047469-16-010246,2015-02-27,0001047469-15-001377,2016-02-19,2016-03-21,2016-08-10,0.9724705345114566,0.0275294654885434,0.0271573438515737,256306,253915,21,120
AXP,59176,0000004962,2016-02-19,0001193125-16-469798,2015-02-24,0001193125-15-059931,2016-02-19,2016-03-21,2016-08-10,0.9639358068382936,0.0360641931617065,0.0354291044289939,300000,300000,21,120
LLY,50876,0000059478,2016-02-19,0000059478-16-000321,2015-02-19,0000059478-15-000100,2016-02-19,2016-03-21,2016-08-10,0.9690863358556244,0.0309136641443755,0.0304454616102787,300000,300000,21,120
GS,86868,0000886982,2016-02-22,0001193125-16-470289,2015-02-23,0001193125-15-056785,2016-02-22,2016-03-22,2016-08-11,0.9757289690748971,0.0242710309251028,0.0239811702339005,300000,300000,21,120
NEE,24205,0000753308,2016-02-22,0000753308-16-000337,2015-02-20,0000753308-15-000079,2016-02-22,2016-03-22,2016-08-11,0.9916520418454676,0.0083479581545323,0.0083133066644218,300000,300000,21,120
COP,13928,0001163165,2016-02-23,0001193125-16-472901,2015-02-24,0001193125-15-059281,2016-02-23,2016-03-23,2016-08-12,0.9483391738418638,0.0516608261581361,0.0503706537357656,300000,300000,21,120
IBM,12490,0000051143,2016-02-23,0001047469-16-010329,2015-02-24,0001047469-15-001106,2016-02-23,2016-03-23,2016-08-12,0.9783043558751152,0.0216956441248847,0.0214636432459538,93551,95607,21,120
JPM,47896,0000019617,2016-02-23,0000019617-16-000902,2015-02-24,0000019617-15-000272,2016-02-23,2016-03-23,2016-08-12,0.9795853923587498,0.0204146076412502,0.020209022786002,300000,300000,21,120
MS,69032,0000895421,2016-02-23,0001193125-16-473553,2015-03-02,0001193125-15-071980,2016-02-23,2016-03-23,2016-08-12,0.9637688330906484,0.0362311669093515,0.0355902530289702,300000,300000,21,120
VZ,65875,0000732712,2016-02-23,0001193125-16-473367,2015-02-23,0001193125-15-057710,2016-02-23,2016-03-23,2016-08-12,0.9835728051160822,0.0164271948839177,0.0162937281900722,118324,119087,21,120
BAC,59408,0000070858,2016-02-24,0000070858-16-000137,2015-02-25,0000070858-15-000008,2016-02-24,2016-03-24,2016-08-15,0.9780043964953066,0.0219956035046934,0.0217571899177522,300000,300000,21,120
BSX,77605,0000885725,2016-02-24,0000885725-16-000028,2015-02-25,0000885725-15-000006,2016-02-24,2016-03-24,2016-08-15,0.9841011351568832,0.0158988648431167,0.0157738017243616,300000,300000,21,120
DHR,49680,0000313616,2016-02-24,0000313616-16-000145,2015-02-25,0000313616-15-000038,2016-02-24,2016-03-24,2016-08-15,0.9718199372043452,0.0281800627956547,0.0277903100560705,300000,300000,21,120
GILD,77274,0000882095,2016-02-24,0000882095-16-000039,2015-02-25,0000882095-15-000008,2016-02-24,2016-03-24,2016-08-15,0.928992689443695,0.071007310556305,0.0685996173585664,300000,300000,21,120
JNJ,22111,0000200406,2016-02-24,0000200406-16-000071,2015-02-24,0000200406-15-000004,2016-02-24,2016-03-24,2016-08-15,0.6868271347608512,0.3131728652391488,0.2724462433486214,280613,39528,21,120
LMT,21178,0000936468,2016-02-24,0001193125-16-476010,2015-02-09,0001193125-15-038681,2016-02-24,2016-03-24,2016-08-15,0.9546476609513752,0.0453523390486246,0.0443539951426129,300000,300000,21,120
SCHW,75186,0000316709,2016-02-24,0000316709-16-000067,2015-02-23,0000316709-15-000014,2016-02-24,2016-03-24,2016-08-15,0.9789702198845016,0.0210297801154982,0.020811706353145,300000,300000,21,120
TSLA,93436,0001318605,2016-02-24,0001564590-16-013195,2015-02-26,0001564590-15-001031,2016-02-24,2016-03-24,2016-08-15,0.9098756814720066,0.0901243185279934,0.0862917434328309,300000,300000,21,120
TXN,15579,0000097476,2016-02-24,0001564590-16-013126,2015-02-24,0000097476-15-000003,2016-02-24,2016-03-24,2016-08-15,0.9728028344250366,0.0271971655749634,0.0268338945795846,176154,185439,21,120
WFC,38703,0000072971,2016-02-24,0000072971-16-001045,2015-02-25,0000072971-15-000449,2016-02-24,2016-03-24,2016-08-15,0.992677140279264,0.007322859720736,0.0072961777631331,70907,70256,21,120
XOM,11850,0000034088,2016-02-24,0000034088-16-000065,2015-02-25,0000034088-15-000013,2016-02-24,2016-03-24,2016-08-15,0.9832676719518734,0.0167323280481266,0.0165938848310619,252518,242854,21,120
ANET,14714,0001596532,2016-02-25,0001596532-16-000244,2015-03-12,0001596532-15-000004,2016-02-25,2016-03-28,2016-08-16,0.9893333266472928,0.0106666733527071,0.0106101857274908,300000,300000,21,120
CVX,14541,0000093410,2016-02-25,0000093410-16-000049,2015-02-20,0000093410-15-000010,2016-02-25,2016-03-28,2016-08-16,0.9777391547952416,0.0222608452047583,0.0220166893574833,300000,300000,21,120
KO,11308,0000021344,2016-02-25,0000021344-16-000050,2015-02-25,0000021344-15-000005,2016-02-25,2016-03-28,2016-08-16,0.992073491922738,0.0079265080772619,0.0078952583377018,300000,300000,21,120
MCD,43449,0000063908,2016-02-25,0000063908-16-000103,2015-02-24,0000063908-15-000016,2016-02-25,2016-03-28,2016-08-16,0.9742813865434528,0.0257186134565472,0.0253934532432486,210287,206377,21,120
